branch,variable,your_unit,leap_unit,status,proposed_factor,confidence_stars,conversion_source,conversion_caveat
Resources\Secondary\Kerosene,Export Benefit,(formula refers to Import Cost; unit inherited),2020 USD/Metric Tonne,formula_reference,,0,,
Resources\Secondary\Residual Fuel Oil,Export Benefit,(formula refers to Import Cost; unit inherited),2020 USD/Metric Tonne,formula_reference,,0,,
Resources\Secondary\Gasoline,Maximum Production,PJ/year,Gigajoule,mismatch,1000000.0,5,SI: 1 PJ = 1e6 GJ. (Maximum Production for Secondary fuels in LEAP is annual energy in GJ.),
Resources\Secondary\Diesel,Maximum Production,PJ/year,Gigajoule,mismatch,1000000.0,5,SI: 1 PJ = 1e6 GJ. (Maximum Production for Secondary fuels in LEAP is annual energy in GJ.),
Resources\Secondary\Kerosene,Maximum Production,PJ/year,Gigajoule,mismatch,1000000.0,5,SI: 1 PJ = 1e6 GJ. (Maximum Production for Secondary fuels in LEAP is annual energy in GJ.),
Resources\Secondary\LPG,Maximum Production,PJ/year,Gigajoule,mismatch,1000000.0,5,SI: 1 PJ = 1e6 GJ. (Maximum Production for Secondary fuels in LEAP is annual energy in GJ.),
Resources\Secondary\Residual Fuel Oil,Maximum Production,PJ/year,Gigajoule,mismatch,1000000.0,5,SI: 1 PJ = 1e6 GJ. (Maximum Production for Secondary fuels in LEAP is annual energy in GJ.),
Resources\Primary\Crude Oil,Maximum Production,PJ/year,Petajoule,match,,0,,
Resources\Primary\Crude Oil,Production Cost,USD/bbl real 2020 USD,2020 USD/Barrel,match,,0,,
Transformation\Oil Refining\Processes\All Refineries,Exogenous Capacity,PJ/year,Thousand Gigajoules/Year,mismatch,1000.0,5,SI: 1 PJ = 1e6 GJ; LEAP 'Thousand Gigajoules' = 1e3 GJ → 1 PJ = 1000 thousand-GJ.,
