branch,variable,your_unit,leap_unit,status,branch_suggestion,consumer_fuel_hint,fuel_advice,proposed_factor,confidence_stars,conversion_source,conversion_caveat
Resources\Primary\Corn,Import Cost,USD/t grain,2020 USD/Tonnes of Coal Equivalent,mismatch,,,,2.0074,3,Corn (maize) grain LHV 14.6 GJ/t (IPCC 2019 Refinement Vol.2 Ch.1 Table 1.2 default for cereals); 29.3076/14.6 = 2.0074. Used for both Import Cost and Fuel Cost variables.,"±10% with moisture content; field-dry corn ≈ 14.6, post-harvest at 15% MC ≈ 13.6 GJ/t."
Resources\Primary\Palm Oil,Import Cost,USD/t FFB,2020 USD/Metric Tonne,mismatch,,,,1.0,5,One tonne of palm FFB is one tonne — commodity tag is descriptive only.,
Resources\Primary\Sugarcane,Import Cost,USD/t cane,2020 USD/Metric Tonne,mismatch,,,,1.0,5,One tonne of sugarcane is one tonne — commodity tag is descriptive only.,
Resources\Primary\Palm Oil Mill Effluent,Maximum Production,Tonne,Metric Tonne,match,,,,,0,,
Resources\Primary\Palm Oil Mill Effluent,Production Cost,2020 USD/Tonnes of Oil Equivalent,2020 USD/Tonnes of Oil Equivalent,match,,,,,0,,
Resources\Primary\Molasses,Maximum Production,Tonne,Metric Tonne,match,,,,,0,,
Resources\Primary\Molasses,Production Cost,USD/t molasses,2020 USD/Metric Tonne,mismatch,,,,1.0,5,One tonne of molasses is one tonne — commodity tag is descriptive only.,
Transformation\Biodiesel Production\Processes\CME Biodiesel,Maximum Capacity,Million Tonnes/yr,Million Gigajoules/Year,mismatch,,,,37.0,4,Biodiesel (FAME) LHV 37 GJ/t (IPCC 2006 Vol.2 Ch.1 Table 1.2 default for biodiesels).,±5% across FAME / CME / POME-biodiesel grades.
Transformation\Bioethanol Production\Processes\Cassava,Maximum Capacity,Million Tonnes/yr,Million Tonne Coal Equiv/Year,mismatch,,,,0.9144385756595559,4,Ethanol LHV 26.8 GJ/t (IPCC 2006 Vol.2 Ch.1 default for biogasoline / anhydrous denatured); 26.8/29.3076 = 0.9145.,±3% — anhydrous vs hydrous ethanol differs by ~5%.
Transformation\Bioethanol Production\Processes\Corn Ethanol,Maximum Capacity,Million Tonnes/yr,Million Tonne Coal Equiv/Year,mismatch,,,,0.9144385756595559,4,Ethanol LHV 26.8 GJ/t (IPCC 2006 Vol.2 Ch.1 default for biogasoline / anhydrous denatured); 26.8/29.3076 = 0.9145.,±3% — anhydrous vs hydrous ethanol differs by ~5%.
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity,Million Tonnes/yr,Million Gigajoules/Year,mismatch,,,,37.0,4,Biodiesel (FAME) LHV 37 GJ/t (IPCC 2006 Vol.2 Ch.1 Table 1.2 default for biodiesels).,±5% across FAME / CME / POME-biodiesel grades.
Transformation\Bioethanol Production\Processes\Molasses,Maximum Capacity,Million Tonnes/yr,Million Tonne Coal Equiv/Year,mismatch,,,,0.9144385756595559,4,Ethanol LHV 26.8 GJ/t (IPCC 2006 Vol.2 Ch.1 default for biogasoline / anhydrous denatured); 26.8/29.3076 = 0.9145.,±3% — anhydrous vs hydrous ethanol differs by ~5%.
Transformation\Biodiesel Production\Processes\POME Biodiesel,Maximum Capacity,Million Tonnes/yr,Million Gigajoules/Year,mismatch,,,,37.0,4,Biodiesel (FAME) LHV 37 GJ/t (IPCC 2006 Vol.2 Ch.1 Table 1.2 default for biodiesels).,±5% across FAME / CME / POME-biodiesel grades.
Transformation\Bioethanol Production\Processes\Sugarcane,Maximum Capacity,Million Tonnes/yr,Million Tonne Coal Equiv/Year,mismatch,,,,0.9144385756595559,4,Ethanol LHV 26.8 GJ/t (IPCC 2006 Vol.2 Ch.1 default for biogasoline / anhydrous denatured); 26.8/29.3076 = 0.9145.,±3% — anhydrous vs hydrous ethanol differs by ~5%.
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Feedstock Fuels\Palm Oil,Fuel Cost,USD/t FFB,U.S. Dollar/Gigajoule,mismatch,,,,0.16666666666666666,2,"Palm Fresh Fruit Bunches (FFB) LHV ≈ 6 GJ/t wet basis (MPOB, IRENA palm-biomass series).",±20% with ripeness and moisture (refined palm oil = 37 GJ/t; do not confuse).
Transformation\Biodiesel Production\Processes\CME Biodiesel\Feedstock Fuels\Coconut Oil,Fuel Cost,USD/t nuts-in-shell,U.S. Dollar/Gigajoule,mismatch,,,,0.07407407407407407,2,Coconut nuts-in-shell LHV ≈ 13.5 GJ/t (FAO Coconut Statistical Compendium; shell + copra weighted).,±20% across mature/young nuts and copra:shell ratio.
Transformation\Bioethanol Production\Processes\Sugarcane\Feedstock Fuels\Sugarcane,Fuel Cost,USD/t cane,U.S. Dollar/Gigajoule,mismatch,,,,0.13333333333333333,2,"Sugarcane (raw, wet, including bagasse mass) LHV ≈ 7.5 GJ/t (FAO Sugar Statistical Yearbook; bagasse 18 GJ/t × 30% mass + sugar 16 GJ/t × 12% mass + water).",±25% — refined sugar removed before energy use.
Transformation\Bioethanol Production\Processes\Cassava\Feedstock Fuels\Cassava,Fuel Cost,USD/t fresh root,U.S. Dollar/Gigajoule,mismatch,,,,0.2857142857142857,2,Cassava fresh root LHV ≈ 3.5 GJ/t wet basis (IRENA starch-crop biomass series; high moisture).,±25% with moisture; dry chips ≈ 14 GJ/t.
Transformation\Bioethanol Production\Processes\Corn Ethanol\Feedstock Fuels\Corn,Fuel Cost,USD/t grain,U.S. Dollar/Tonnes of Coal Equivalent,mismatch,,,,2.0074,3,Corn (maize) grain LHV 14.6 GJ/t (IPCC 2019 Refinement Vol.2 Ch.1 Table 1.2 default for cereals); 29.3076/14.6 = 2.0074. Used for both Import Cost and Fuel Cost variables.,"±10% with moisture content; field-dry corn ≈ 14.6, post-harvest at 15% MC ≈ 13.6 GJ/t."
