ams,branch,variable,expression,unit,fuel,source,note,src_csv,domain,data_confidence
Philippines,Resources\Secondary\Methanol,Import Cost,400,2020 USD/Metric Tonne,Methanol,nemo_read Stage-5 placeholder (real-world methanol price ~USD 400/t MMSA range),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Singapore,Resources\Secondary\Methanol,Import Cost,400,2020 USD/Metric Tonne,Methanol,nemo_read Stage-5 placeholder (real-world methanol price ~USD 400/t MMSA range),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Thailand,Resources\Secondary\Methanol,Import Cost,400,2020 USD/Metric Tonne,Methanol,nemo_read Stage-5 placeholder (real-world methanol price ~USD 400/t MMSA range),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Vietnam,Resources\Secondary\Methanol,Import Cost,400,2020 USD/Metric Tonne,Methanol,nemo_read Stage-5 placeholder (real-world methanol price ~USD 400/t MMSA range),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Brunei,Resources\Secondary\Coke Oven Gas,Import Cost,50,2020 USD/Metric Tonne,Coke Oven Gas,nemo_read Stage-5 placeholder (low-value industrial gas estimate),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Cambodia,Resources\Secondary\Coke Oven Gas,Import Cost,50,2020 USD/Metric Tonne,Coke Oven Gas,nemo_read Stage-5 placeholder (low-value industrial gas estimate),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Indonesia,Resources\Secondary\Coke Oven Gas,Import Cost,50,2020 USD/Metric Tonne,Coke Oven Gas,nemo_read Stage-5 placeholder (low-value industrial gas estimate),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Laos,Resources\Secondary\Coke Oven Gas,Import Cost,50,2020 USD/Metric Tonne,Coke Oven Gas,nemo_read Stage-5 placeholder (low-value industrial gas estimate),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Malaysia,Resources\Secondary\Coke Oven Gas,Import Cost,50,2020 USD/Metric Tonne,Coke Oven Gas,nemo_read Stage-5 placeholder (low-value industrial gas estimate),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Myanmar,Resources\Secondary\Coke Oven Gas,Import Cost,50,2020 USD/Metric Tonne,Coke Oven Gas,nemo_read Stage-5 placeholder (low-value industrial gas estimate),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Philippines,Resources\Secondary\Coke Oven Gas,Import Cost,50,2020 USD/Metric Tonne,Coke Oven Gas,nemo_read Stage-5 placeholder (low-value industrial gas estimate),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Singapore,Resources\Secondary\Coke Oven Gas,Import Cost,50,2020 USD/Metric Tonne,Coke Oven Gas,nemo_read Stage-5 placeholder (low-value industrial gas estimate),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Thailand,Resources\Secondary\Coke Oven Gas,Import Cost,50,2020 USD/Metric Tonne,Coke Oven Gas,nemo_read Stage-5 placeholder (low-value industrial gas estimate),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Vietnam,Resources\Secondary\Coke Oven Gas,Import Cost,50,2020 USD/Metric Tonne,Coke Oven Gas,nemo_read Stage-5 placeholder (low-value industrial gas estimate),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Brunei,Resources\Primary\Municipal Solid Waste,Production Cost,20,2020 USD/Metric Tonne,Municipal Solid Waste,nemo_read Stage-5 placeholder (typical Asian MSW gate-fee range),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Cambodia,Resources\Primary\Municipal Solid Waste,Production Cost,20,2020 USD/Metric Tonne,Municipal Solid Waste,nemo_read Stage-5 placeholder (typical Asian MSW gate-fee range),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Indonesia,Resources\Primary\Municipal Solid Waste,Production Cost,20,2020 USD/Metric Tonne,Municipal Solid Waste,nemo_read Stage-5 placeholder (typical Asian MSW gate-fee range),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Laos,Resources\Primary\Municipal Solid Waste,Production Cost,20,2020 USD/Metric Tonne,Municipal Solid Waste,nemo_read Stage-5 placeholder (typical Asian MSW gate-fee range),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Malaysia,Resources\Primary\Municipal Solid Waste,Production Cost,20,2020 USD/Metric Tonne,Municipal Solid Waste,nemo_read Stage-5 placeholder (typical Asian MSW gate-fee range),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Myanmar,Resources\Primary\Municipal Solid Waste,Production Cost,20,2020 USD/Metric Tonne,Municipal Solid Waste,nemo_read Stage-5 placeholder (typical Asian MSW gate-fee range),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Philippines,Resources\Primary\Municipal Solid Waste,Production Cost,20,2020 USD/Metric Tonne,Municipal Solid Waste,nemo_read Stage-5 placeholder (typical Asian MSW gate-fee range),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Singapore,Resources\Primary\Municipal Solid Waste,Production Cost,20,2020 USD/Metric Tonne,Municipal Solid Waste,nemo_read Stage-5 placeholder (typical Asian MSW gate-fee range),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Thailand,Resources\Primary\Municipal Solid Waste,Production Cost,20,2020 USD/Metric Tonne,Municipal Solid Waste,nemo_read Stage-5 placeholder (typical Asian MSW gate-fee range),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
Vietnam,Resources\Primary\Municipal Solid Waste,Production Cost,20,2020 USD/Metric Tonne,Municipal Solid Waste,nemo_read Stage-5 placeholder (typical Asian MSW gate-fee range),"PLACEHOLDER (Stage 5: realistic-cost authoring for r1c DUAL_INFEASIBLE numerical-conditioning issue. LEAP-side authored cost was near-zero (0.001 USD/t for Coke Oven Gas, 0.25 USD/t Methanol, similar for MSW), producing 10^-5 NEMO VariableCost rows. CPLEX cost-matrix condition number ~10^10 - barrier method gave up. Authoring realistic real-world prices brings condition number into CPLEX-tolerable range.)",placeholder_p3_v042_realistic_costs_20260511.csv,cost_diagnostic,PLACEHOLDER
